City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,laguna,38.421,-121.4238,13.94,86,0,0.0,US,1698422073
135,norrtalje,59.758,18.705,3.34,91,100,2.47,SE,1698422074
136,korkuteli,37.065,30.1957,18.03,57,42,1.6,TR,1698422074
137,kristiansund,63.1115,7.732,3.03,60,0,4.12,NO,1698422075
138,phan rang-thap cham,11.5667,108.9833,24.91,89,20,1.82,VN,1698422076
139,jayapura,-2.5333,140.7,25.66,88,100,2.09,ID,1698422076
140,mana,5.6592,-53.7767,31.28,62,12,5.29,GF,1698422077
141,vadso,70.0744,29.7487,-0.91,86,100,2.06,NO,1698422078
142,carnarvon,-24.8667,113.6333,20.78,71,49,10.38,AU,1698422078
143,longyearbyen,78.2186,15.6401,-4.09,86,75,2.06,SJ,1698422079
144,dudinka,69.4058,86.1778,-12.96,99,77,1.34,RU,1698422080
145,bilibino,68.0546,166.4372,-21.18,98,11,1.6,RU,1698422080
146,arias,-33.6441,-62.4027,27.19,43,99,3.76,AR,1698422081
147,veraval,20.9,70.3667,27.68,65,6,1.91,IN,1698422082
148,chegutu,-18.1302,30.1407,30.44,16,1,2.54,ZW,1698422082
149,alice springs,-23.7,133.8833,8.75,15,56,0.0,AU,1698421888
150,happy valley-goose bay,53.3168,-60.3315,2.17,64,75,2.57,CA,1698422084
151,vengerovo,55.6848,76.7471,-4.1,64,7,5.19,RU,1698422084
152,saint-pierre,-21.3393,55.4781,24.82,78,0,2.57,RE,1698422085
153,myeik,12.4333,98.6,26.23,85,89,0.59,MM,1698422085
154,inari,68.906,27.0288,-2.89,97,100,0.5,FI,1698422086
155,kudahuvadhoo,2.6708,72.8944,27.74,79,99,5.87,MV,1698421799
156,muroto-misakicho,33.2833,134.15,18.53,62,0,3.41,JP,1698422087
157,brisas de zicatela,15.8369,-97.0419,28.61,67,100,0.96,MX,1698422087
158,al jawf,29.5,38.75,28.54,28,86,5.06,SA,1698422088
159,val-d'or,48.1002,-77.7828,8.05,100,100,0.0,CA,1698422088
160,ust-nera,64.5667,143.2,-12.48,96,100,1.16,RU,1698421970
161,san jeronimo,-11.9472,-75.2829,18.28,45,65,0.5,PE,1698422089
162,the pas,53.8251,-101.2541,-2.99,80,100,3.09,CA,1698422090
163,kerikeri,-35.2268,173.9474,9.39,88,100,1.88,NZ,1698422090
164,remire-montjoly,4.9167,-52.2667,32.02,62,75,4.63,GF,1698422091
165,sao vicente,-23.9631,-46.3919,32.37,66,100,3.09,BR,1698422091
166,kidal,18.4411,1.4078,36.43,9,4,5.23,ML,1698422092
167,serra talhada,-7.9919,-38.2983,37.42,20,50,3.95,BR,1698422092
168,bochum,51.4833,7.2167,12.46,90,100,0.45,DE,1698422094
169,sinabang,2.4803,96.3801,25.64,87,91,1.91,ID,1698422094
170,mahajanga,-15.7167,46.3167,27.32,77,0,6.03,MG,1698422094
171,siparia,10.1333,-61.5,26.19,79,98,5.56,TT,1698422095
172,alofi,-19.0595,-169.9187,21.94,73,76,5.14,NU,1698422095
173,illapel,-31.6308,-71.1653,19.26,50,11,4.62,CL,1698422096
174,madinat ash shamal,26.1293,51.2009,28.32,51,0,6.6,QA,1698422096
175,callao,-12.0667,-77.15,23.18,78,100,2.57,PE,1698422097
176,luderitz,-26.6481,15.1594,19.86,61,46,12.66,NA,1698422097
177,rifle,39.5347,-107.7831,8.39,77,100,0.0,US,1698422098
178,pacific grove,36.6177,-121.9166,12.46,81,0,4.47,US,1698422098
179,codrington,-38.2667,141.9667,9.26,53,96,4.39,AU,1698422099
180,coquimbo,-29.9533,-71.3436,15.85,67,75,4.63,CL,1698422100
181,northam,51.0333,-4.2167,14.03,85,57,6.01,GB,1698422100
182,marsa alam,25.0757,34.8918,28.49,66,63,2.2,EG,1698421865
183,bratsk,56.1325,101.6142,1.27,43,100,5.11,RU,1698422102
184,sur,22.5667,59.5289,28.22,64,4,1.18,OM,1698422102
185,nowy dwor gdanski,54.2131,19.1177,10.08,83,100,2.59,PL,1698422103
186,sampit,-2.5333,112.95,25.85,87,91,1.85,ID,1698422104
187,uliastay,47.7417,96.8444,3.92,37,62,2.07,MN,1698422105
188,arkalyk,50.2486,66.9114,0.39,48,100,3.59,KZ,1698422106
189,lusambo,-4.9667,23.45,26.42,67,48,0.52,CD,1698422106
190,east london,-33.0153,27.9116,19.52,68,0,8.23,ZA,1698422107
191,santa cruz de bezana,43.4437,-3.9032,19.17,62,40,4.63,ES,1698422107
192,nogales,31.3086,-110.9422,18.47,62,0,0.0,MX,1698422108
193,puerto deseado,-47.7503,-65.8938,16.41,35,100,21.48,AR,1698422109
194,port elizabeth,-33.918,25.5701,19.16,86,75,10.29,ZA,1698422109
195,mount gambier,-37.8333,140.7667,8.89,45,48,3.87,AU,1698422110
196,maracaibo,10.6317,-71.6406,30.0,66,61,1.84,VE,1698422110
197,general villegas,-35.0328,-63.0125,27.8,34,37,3.14,AR,1698422111
198,hailun,47.45,126.9333,1.38,36,0,0.12,CN,1698422111
199,westport,41.1415,-73.3579,20.86,70,100,1.34,US,1698422030
200,chinde,26.8418,88.0763,13.27,81,5,2.18,NP,1698422113
201,kayenta,36.7278,-110.2546,12.0,57,0,3.29,US,1698422114
202,chu,43.5983,73.7614,10.38,52,100,3.25,KZ,1698422115
203,atafu village,-8.5421,-172.5159,28.22,78,100,5.03,TK,1698422115
204,manokwari,-0.8667,134.0833,25.65,82,98,1.41,ID,1698422116
205,castellaneta,40.6272,16.9369,22.68,74,100,2.24,IT,1698422116
206,enewetak,11.3474,162.3373,28.44,73,64,3.42,MH,1698422117
207,conde,-7.2597,-34.9075,29.7,62,75,5.14,BR,1698422101
208,sechura,-5.5569,-80.8222,24.48,63,99,3.2,PE,1698422118
